Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Weiss, Michael",AUT,1,1,1,00:56:02,04:31:23,02:45:16,08:18:09,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Van Cleven, Michael",BEL,2,2,2,00:49:23,04:33:20,02:55:45,08:23:27,4936,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Diederen, Bas",NLD,3,3,3,00:47:29,04:41:17,02:52:25,08:25:50,4907,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Wiltshire, Harry",GBR,4,4,4,00:47:24,04:41:14,02:53:51,08:27:10,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Blanchart Tinto, Miquel",ESP,5,5,5,00:49:10,04:51:54,02:57:05,08:43:08,4700,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Gomes, Pedro",PRT,6,6,6,00:49:12,04:58:10,02:57:28,08:49:24,4625,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Esser, Olivier",BEL,7,11,11,00:51:54,05:02:07,03:13:33,09:13:29,4336,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Caceres Lopez, Ivan",ESP,8,21,21,00:49:15,05:22:30,03:07:57,09:26:11,4183,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Baldwin, Nick",SYC,9,35,35,00:49:07,04:52:18,03:47:55,09:34:28,4084,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Riba Ochoa, Albert",ESP,10,130,136,01:10:19,05:22:07,03:34:41,10:16:37,3578,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Bobbaers, Rob",BEL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Dekker, Martijn",NLD,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Hovgaard, Esben",DNK,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Kaiser, Thomas",DEU,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Koutny, Philipp",CHE,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Lassonde, Cedric",FRA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Strijk, Erik-Simon",NLD,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Verhaegen, Hendrik-Jan",BEL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,Pro
"Bradley, Alex",GBR,1,13,13,00:56:35,04:58:17,03:17:12,09:18:00,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,18-24
"Herms, Oliver",DEU,2,51,52,01:02:05,05:16:36,03:20:01,09:45:42,4667,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,18-24
"Mellaerts, Robbe",BEL,3,162,170,01:03:24,05:21:55,03:52:41,10:26:03,4183,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,18-24
"Verhoeven, Joep",NLD,4,215,229,01:03:03,05:34:52,03:55:55,10:44:24,3963,Ironman 140.6,Maastricht,Netherlands,Europe,M,2017,20170806,Maastricht,18-24
