Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"O'Donnell, Tim",USA,1,1,1,00:49:20,04:24:25,02:53:55,08:13:30,5000,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Daerr, Justin",USA,2,2,2,00:54:05,04:30:57,02:57:13,08:27:45,4829,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Chrabot, Matt",USA,3,3,3,00:50:25,04:30:33,03:07:42,08:34:36,4746,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Mckeon, Patrick",USA,4,4,4,00:57:08,04:35:15,03:03:40,08:42:24,4653,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Griffin, Leon",AUS,5,5,5,00:52:14,04:34:43,03:11:56,08:44:42,4625,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Shoemaker, Jarrod",USA,6,6,6,00:50:18,04:50:25,02:59:21,08:45:38,4614,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Major, Jozsef",HUN,7,7,7,01:03:20,04:31:10,03:10:57,08:51:35,4543,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Hipple, Tripp",USA,8,8,8,00:54:34,04:35:35,03:18:23,08:55:03,4501,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Long, Sam",USA,9,9,9,01:01:39,04:32:50,03:17:52,08:57:16,4474,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Laughery, Colin",USA,10,10,10,00:58:13,04:40:07,03:13:30,08:58:45,4457,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Schifferle, Mike",CHE,11,13,13,01:03:15,04:45:22,03:12:00,09:09:32,4327,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Bagg, Chris",USA,---,---,---,00:56:40,04:39:23,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Biessmann, Max",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Butterfield, Tyler",BMU,---,---,---,00:54:04,04:51:17,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Evoe, Patrick",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Peterson, Kennett",USA,---,---,---,00:54:37,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Rhodes, Bryan",NZL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Wade, Robbie",IRL,---,---,---,00:59:32,04:48:45,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,Pro
"Nygaard, Corey",USA,1,77,89,01:03:09,05:27:34,03:59:36,10:39:29,5000,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Chavez, Alex",USA,2,110,129,01:05:31,05:33:58,04:18:17,11:08:01,4657,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Stelflug, Nathan",USA,3,136,159,01:08:31,05:50:48,04:13:59,11:27:27,4424,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Dean, Jordan",USA,4,161,189,01:15:08,05:50:40,04:19:48,11:39:54,4275,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Lensing, Jacob",USA,5,189,224,01:05:55,06:01:47,04:32:11,11:54:44,4097,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Cunningham, Jonathan",USA,6,190,225,01:16:14,05:59:49,04:30:20,11:55:38,4086,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Vaughan, Brandon",USA,7,236,279,01:09:17,05:49:11,05:07:19,12:18:09,3816,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Connolly, Christopher",USA,8,303,373,01:14:25,06:17:24,05:05:59,12:52:01,3409,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Cox, Talbot",USA,9,321,398,01:16:32,06:07:11,05:25:36,12:57:01,3349,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Pantlin, Nicholas",USA,10,360,451,01:10:47,06:24:43,05:22:08,13:12:28,3164,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Hoffman, Alex",USA,11,405,508,01:18:10,06:23:06,05:30:42,13:31:03,2941,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Hefner, John",USA,12,427,538,01:34:33,06:45:19,05:02:44,13:38:58,2846,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Rouw, Chris",USA,13,432,544,01:20:28,06:32:35,05:35:35,13:39:53,2835,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Prell, John",USA,14,440,553,01:34:08,07:14:48,04:32:16,13:41:21,2817,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Materi, Josh",USA,15,461,582,01:39:03,06:47:55,05:04:09,13:49:06,2724,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Mason, Kale",USA,16,483,616,01:09:05,06:32:49,05:56:17,13:58:32,2611,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Zavanelli, Nathan",USA,17,516,667,01:53:11,06:58:34,05:09:00,14:14:35,2418,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Rackovan, Peter",USA,18,522,679,01:25:14,06:26:42,06:13:10,14:18:49,2368,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Barajas, Noah",USA,19,565,754,01:37:30,07:14:48,05:35:46,14:47:07,2028,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Cole, Austin",USA,20,591,792,01:30:46,07:02:49,06:04:25,14:52:38,1962,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Pierce, Dalton",USA,21,615,826,01:07:18,07:26:06,06:10:22,15:03:32,1831,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Oliver, Matt",USA,22,647,874,01:28:06,07:10:38,06:23:52,15:22:04,1609,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Hooppaw, James",USA,23,652,881,01:24:40,07:28:52,06:06:48,15:24:46,1576,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"DiLeo, Robert",USA,24,653,882,01:28:49,07:31:13,06:05:28,15:25:14,1571,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Zerpa, Ethan",VEN,25,668,900,01:56:27,07:41:20,05:40:24,15:32:40,1481,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Juan, Justin",USA,26,690,942,01:50:24,07:30:19,06:07:52,15:48:10,1295,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Hamilton, Everett",USA,27,724,990,01:26:14,07:24:39,06:47:37,16:09:06,1044,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Dargle, Jack",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Godoy, Jorge Fernando",GTM,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,18-24
"Kurey, Luke",USA,1,16,18,00:59:14,04:52:24,03:25:07,09:23:41,5000,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Agnello, Anthony",USA,2,24,26,00:58:17,04:51:21,03:45:29,09:42:01,4780,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Winton, David",USA,3,26,30,01:04:41,05:02:52,03:30:00,09:44:57,4744,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Morris, Steve",USA,4,28,32,00:58:14,05:05:12,03:36:39,09:47:48,4710,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Richardson, Jeremy",USA,5,42,47,01:02:44,05:13:06,03:33:35,09:58:23,4583,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Shaffer, Dillon",USA,6,52,58,01:03:32,05:06:03,03:55:56,10:14:29,4390,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
"Gouin, Brandon",USA,7,62,68,01:04:59,05:25:53,03:42:51,10:22:05,4299,Ironman 140.6,Boulder,USA,North America,M,2017,20170611,boulder,25-29
