Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Fenoff, Sean",USA,1,97,117,00:56:44,05:31:52,04:26:49,11:04:40,5000,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Ford, Benjamin",USA,2,109,130,00:53:33,06:02:49,04:03:02,11:10:39,4928,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Karr, Ryan",USA,3,137,162,01:09:39,05:53:10,04:06:57,11:20:04,4815,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Delmonico, Nicholas",USA,4,143,170,01:02:56,06:01:11,04:11:32,11:22:15,4789,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Hudak, Dave",USA,5,156,184,01:11:17,06:07:29,03:57:13,11:28:18,4716,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Prevost, Ryan",USA,6,219,261,01:04:39,06:19:20,04:09:44,11:48:02,4479,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Simpson, Ian",USA,7,250,296,00:57:52,06:16:13,04:31:34,11:55:51,4385,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Nunn, Zachary",USA,8,295,344,01:09:44,06:25:48,04:18:35,12:05:51,4265,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Bang, Sheldon",USA,9,455,545,01:32:16,06:32:31,04:26:01,12:43:27,3814,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Persons, Persons",USA,10,479,577,01:17:26,06:34:36,04:43:41,12:48:14,3757,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Cunningham, Jonathan",USA,11,488,588,01:10:39,06:39:14,04:48:35,12:49:00,3748,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Pavey, Erik",CAN,12,544,655,01:11:09,06:40:35,04:56:33,12:59:38,3620,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Mohan, Luke",USA,13,692,845,01:06:07,06:52:38,05:10:05,13:26:38,3296,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Creamer, Kylie",USA,14,698,852,01:16:18,07:38:18,04:10:21,13:27:19,3288,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Scott, Drew",USA,15,722,881,00:53:20,06:33:48,05:42:24,13:31:40,3236,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Asselin, Mark",CAN,16,735,900,00:58:27,06:37:37,05:44:46,13:34:11,3205,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Pennington, Luke",USA,17,750,920,01:06:16,07:13:02,04:53:59,13:36:52,3173,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Kane, Edward",USA,18,763,946,01:12:29,06:11:04,05:56:04,13:39:06,3146,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Rastatter, Gabe",USA,19,847,1065,01:01:43,07:12:08,05:17:58,13:53:16,2976,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
"Nugent, Patrick",USA,20,864,1090,01:14:29,07:26:44,04:52:23,13:57:19,2928,Ironman 140.6,Lake Placid,USA,North America,M,2018,20180722,lakeplacid,18-24
