Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Nilsson, Patrik",SWE,1,1,1,00:49:49,04:40:31,03:05:37,08:41:53,5000,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Croneborg, Fredrik",SWE,2,2,2,00:53:34,04:49:56,03:10:00,08:58:45,4797,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Džalaj, Karol",SVK,3,3,3,00:56:05,04:47:03,03:26:21,09:15:00,4602,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Mcneice, Dylan",NZL,4,4,4,00:46:19,04:53:19,03:41:05,09:26:28,4465,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Tohara, Kaito",JPN,5,6,7,00:56:12,05:19:57,03:11:33,09:33:27,4381,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Mlinar, Markus",AUT,6,8,9,00:57:57,05:06:07,03:38:54,09:48:23,4202,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Woods, Jon",NZL,7,9,10,00:57:59,05:11:29,03:43:07,09:58:05,4085,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Deak, Zsombor",ROU,8,10,12,01:00:05,05:25:45,03:29:24,10:00:38,4055,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Beardall, Timothy",AUS,9,13,17,01:06:30,04:27:10,04:29:33,10:10:39,3934,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Masuda, Daiki",JPN,10,45,53,00:57:32,05:34:10,04:00:39,10:40:07,3581,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Shinozaki, Yu",JPN,11,50,58,00:59:59,05:31:26,04:08:18,10:48:07,3485,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Kulich, Michal",SVK,12,52,60,01:05:20,05:28:20,04:08:57,10:50:23,3458,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Svoboda, Josef",CZE,13,188,213,01:13:07,06:18:45,04:44:00,12:27:18,2295,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Bell, Luke",AUS,---,---,---,00:49:55,04:53:23,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Brown, Cameron",NZL,---,---,---,00:53:45,05:11:18,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Burton, Matt",AUS,---,---,---,00:56:07,---,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Fuller, Brian",AUS,---,---,---,00:53:56,05:02:42,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Gordon, Adam",AUS,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Read, Carl",NZL,---,---,---,00:56:00,05:01:02,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Sanson, Benjamin",FRA,---,---,---,00:47:27,---,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,Pro
"Li, Peng Cheng",CHN,1,55,63,01:11:10,05:27:52,03:59:01,10:51:33,5000,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,18-24
"Kodera, Yusuke",JPN,2,116,133,00:56:11,06:13:04,04:20:09,11:44:26,4365,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,18-24
"Marumo, Masahiro",JPN,3,231,265,01:07:13,05:48:39,05:44:51,12:48:22,3598,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,18-24
"abdullah, syed",MYS,4,234,268,01:23:12,06:25:26,04:46:36,12:50:37,3571,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,18-24
"Casugay, Gian Carlo",PHL,5,264,302,01:26:08,06:54:24,04:35:23,13:06:40,3378,Ironman 140.6,Langkawi,Malaysia,Asia,M,2014,20140927,malaysia,18-24
