Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Docherty, Bevan",NZL,1,1,1,00:45:44,04:35:06,02:49:46,08:15:35,5000,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Albert, Marko",EST,2,2,2,00:45:34,04:38:34,02:56:56,08:25:30,4881,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Brown, Cameron",NZL,3,3,3,00:50:09,04:41:52,02:57:16,08:34:28,4773,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Ogden, Courtney",AUS,4,4,4,00:50:15,04:44:14,02:58:24,08:38:53,4720,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Csoke, Balazs",HUN,5,5,5,00:47:40,04:48:51,03:03:55,08:46:05,4634,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Read, Carl",NZL,6,6,6,00:53:14,04:53:14,02:56:50,08:48:16,4607,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Williams, Keegan",NZL,7,7,7,00:51:46,04:48:40,03:04:50,08:50:22,4582,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Cotter, Ben",CAN,8,8,8,00:54:16,04:48:49,03:13:40,09:02:47,4433,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Sanson, Chris",NZL,9,9,9,00:54:08,04:58:27,03:08:59,09:07:01,4382,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Cochrane, Simon",NZL,10,11,12,00:51:35,05:01:02,03:18:54,09:17:12,4260,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Defilippis, Scott",USA,11,12,13,00:51:53,04:58:56,03:20:25,09:18:34,4244,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Moser, Ernst",AUT,12,13,14,00:54:45,05:00:47,03:20:21,09:20:22,4222,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Kluts, Jacson",NZL,13,16,18,00:58:14,05:04:07,03:20:28,09:29:04,4118,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Hiramatsu, Kodo",JPN,14,25,29,00:51:56,05:20:59,03:20:23,09:39:11,3996,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Stallard, Shanon",NZL,15,53,59,00:54:12,05:18:06,03:39:31,09:58:21,3766,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Masuda, Daiki",JPN,16,81,91,00:54:51,05:08:39,04:11:15,10:20:54,3496,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Bowden, David",NZL,17,241,271,00:54:54,05:17:25,05:00:18,11:20:18,2783,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Bowstead, James",NZL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Bozzone, Terenzo",NZL,---,---,---,00:47:22,04:52:40,---,DNF,---,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Taddonio, Kevin",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,Pro
"Carew-Bourke, Joseph",NZL,1,127,141,01:09:17,05:38:07,03:45:24,10:41:00,5000,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Franklyn, Timothy",AUS,2,148,165,00:59:49,05:27:47,04:12:50,10:48:54,4905,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Paul, Cameron",NZL,3,165,184,01:00:14,05:30:15,04:14:52,10:54:29,4838,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Hicks, Wade",AUS,4,251,283,01:10:08,05:49:18,04:12:27,11:23:35,4489,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Elliott, Vin",NZL,5,270,303,01:00:28,05:52:27,04:26:46,11:28:05,4435,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Araki, Shunya",JPN,6,304,339,00:56:00,06:32:07,03:54:51,11:35:39,4344,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
"Wallace, Ben",NZL,7,352,407,01:00:02,06:15:02,04:26:02,11:53:30,4130,Ironman 140.6,Taupo,New Zealand,Oceania,M,2013,20130302,newzealand,18-24
