Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Van Lierde, Frederik",BEL,1,1,1,00:49:20,04:32:45,02:49:45,08:16:35,5000,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Rana, Ivan",ESP,2,2,2,00:49:28,04:48:22,02:48:44,08:30:45,4830,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Aernouts, Bart",BEL,3,3,3,00:52:07,04:44:30,02:55:04,08:35:59,4767,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Trautman, Matt",ZAF,4,4,4,00:51:57,04:48:01,02:53:10,08:37:21,4750,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Llanos, Eneko",ESP,5,5,5,00:49:36,04:47:44,02:55:42,08:37:50,4745,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Diederen, Bas",NLD,6,6,6,00:49:31,04:46:56,02:56:51,08:38:14,4740,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Mcnamee, David",GBR,7,7,7,00:49:27,04:54:41,02:54:55,08:43:35,4676,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Viennot, Cyril",FRA,8,8,8,00:51:57,04:47:28,03:01:11,08:45:55,4648,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Del Corral Morales, Victor Manuel",ESP,9,9,9,00:56:19,04:55:15,02:51:15,08:47:10,4633,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Cunnama, James",ZAF,10,10,10,00:51:34,04:51:53,02:59:54,08:47:45,4626,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Buckingham, Kyle",ZAF,11,11,11,00:49:34,04:46:39,03:08:04,08:48:43,4614,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Vistica, Andrej",HRV,12,12,12,00:52:03,04:49:50,03:03:20,08:49:55,4600,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Duelsen, Marc",DEU,13,13,13,00:52:00,04:55:14,03:02:48,08:54:15,4548,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Ruenz, Michael",DEU,14,14,14,00:53:26,05:01:43,02:57:31,08:57:42,4506,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Kotsegarov, Kirill",EST,15,15,15,00:57:24,04:53:41,03:02:13,08:59:09,4489,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Moldan, Johannes",DEU,16,16,16,00:51:52,04:50:39,03:16:42,09:03:29,4437,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Plese, David",SVN,17,17,17,00:52:09,04:57:09,03:10:27,09:04:55,4420,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Tollakson, Tj",USA,18,18,18,00:49:42,04:55:15,03:16:04,09:06:24,4402,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Cartmell, Fraser",GBR,19,19,19,00:51:00,04:58:09,03:12:55,09:07:13,4392,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Davidson, Michael",ZAF,20,20,20,00:57:24,05:11:33,02:58:36,09:12:31,4328,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Van Lierde, Frederik",BEL,1,1,1,00:49:20,04:32:45,02:49:45,08:16:35,5000,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Rana, Ivan",ESP,2,2,2,00:49:28,04:48:22,02:48:44,08:30:45,4830,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Aernouts, Bart",BEL,3,3,3,00:52:07,04:44:30,02:55:04,08:35:59,4767,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Trautman, Matt",ZAF,4,4,4,00:51:57,04:48:01,02:53:10,08:37:21,4750,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Llanos, Eneko",ESP,5,5,5,00:49:36,04:47:44,02:55:42,08:37:50,4745,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Diederen, Bas",NLD,6,6,6,00:49:31,04:46:56,02:56:51,08:38:14,4740,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Mcnamee, David",GBR,7,7,7,00:49:27,04:54:41,02:54:55,08:43:35,4676,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Viennot, Cyril",FRA,8,8,8,00:51:57,04:47:28,03:01:11,08:45:55,4648,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Del Corral Morales, Victor Manuel",ESP,9,9,9,00:56:19,04:55:15,02:51:15,08:47:10,4633,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Cunnama, James",ZAF,10,10,10,00:51:34,04:51:53,02:59:54,08:47:45,4626,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Buckingham, Kyle",ZAF,11,11,11,00:49:34,04:46:39,03:08:04,08:48:43,4614,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Vistica, Andrej",HRV,12,12,12,00:52:03,04:49:50,03:03:20,08:49:55,4600,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Duelsen, Marc",DEU,13,13,13,00:52:00,04:55:14,03:02:48,08:54:15,4548,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Ruenz, Michael",DEU,14,14,14,00:53:26,05:01:43,02:57:31,08:57:42,4506,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Kotsegarov, Kirill",EST,15,15,15,00:57:24,04:53:41,03:02:13,08:59:09,4489,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Moldan, Johannes",DEU,16,16,16,00:51:52,04:50:39,03:16:42,09:03:29,4437,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Plese, David",SVN,17,17,17,00:52:09,04:57:09,03:10:27,09:04:55,4420,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Tollakson, Tj",USA,18,18,18,00:49:42,04:55:15,03:16:04,09:06:24,4402,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Cartmell, Fraser",GBR,19,19,19,00:51:00,04:58:09,03:12:55,09:07:13,4392,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Davidson, Michael",ZAF,20,20,20,00:57:24,05:11:33,02:58:36,09:12:31,4328,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Close, Gregory",USA,21,24,25,01:02:06,05:15:56,03:07:06,09:30:06,4117,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Bertrand, Billard",FRA,22,26,29,00:49:25,04:50:51,03:49:01,09:34:50,4061,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Lubinski, Jim",USA,23,28,32,01:00:04,05:12:48,03:18:13,09:36:50,4037,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Mueller, Urs",CHE,24,31,36,00:58:17,05:16:50,03:20:04,09:39:39,4003,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Hovda, Allan",NOR,25,33,39,01:08:03,05:18:40,03:08:33,09:40:25,3994,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Casadei, Alberto",ITA,26,35,41,00:49:24,05:27:05,03:04:40,09:40:55,3988,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Horner, Kent",ZAF,27,36,42,00:49:26,05:13:53,03:33:05,09:41:03,3986,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Hannes, Cool",BEL,28,40,47,00:52:10,05:16:45,03:31:45,09:46:18,3923,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Danielsson, Karl-Johan",SWE,29,47,56,00:51:56,05:17:10,03:40:53,09:55:19,3815,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"De Bruin, Gerhard",ZAF,30,54,63,00:54:34,05:27:39,03:32:28,09:59:57,3759,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Twigg, Craig",GBR,31,170,190,00:52:04,05:07:52,04:51:17,10:58:18,3059,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Flagstad, Frederik",---,32,1173,1376,01:26:38,07:50:05,05:51:08,15:27:41,1000,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Ackermann, Johann",DEU,---,---,---,00:49:19,---,---,DNF,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Aigroz, Mike",CHE,---,---,---,00:49:21,---,---,DNF,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Bachor, Konstantin",DEU,---,---,---,00:49:32,---,---,DNF,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Ciotti, Emanuele",ITA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Clarke, Will",GBR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Delsaut, Trevor",FRA,---,---,---,00:52:13,05:31:00,---,DNF,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Džalaj, Karol",SVK,---,---,---,---,---,---,DNS,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Faure, Herve",FRA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Close, Gregory",USA,21,24,25,01:02:06,05:15:56,03:07:06,09:30:06,4117,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Bertrand, Billard",FRA,22,26,29,00:49:25,04:50:51,03:49:01,09:34:50,4061,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Lubinski, Jim",USA,23,28,32,01:00:04,05:12:48,03:18:13,09:36:50,4037,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Mueller, Urs",CHE,24,31,36,00:58:17,05:16:50,03:20:04,09:39:39,4003,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Hovda, Allan",NOR,25,33,39,01:08:03,05:18:40,03:08:33,09:40:25,3994,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Casadei, Alberto",ITA,26,35,41,00:49:24,05:27:05,03:04:40,09:40:55,3988,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Horner, Kent",ZAF,27,36,42,00:49:26,05:13:53,03:33:05,09:41:03,3986,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Hannes, Cool",BEL,28,40,47,00:52:10,05:16:45,03:31:45,09:46:18,3923,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Danielsson, Karl-Johan",SWE,29,47,56,00:51:56,05:17:10,03:40:53,09:55:19,3815,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"De Bruin, Gerhard",ZAF,30,54,63,00:54:34,05:27:39,03:32:28,09:59:57,3759,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
"Twigg, Craig",GBR,31,170,190,00:52:04,05:07:52,04:51:17,10:58:18,3059,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2015,20150329,southafrica,Pro
