Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Fontana, Daniel",ITA,1,1,1,00:04:28,04:34:50,03:02:46,07:47:35,5000,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Harvey, Jarrod",AUS,2,2,2,00:04:35,04:34:41,03:05:44,07:50:29,4965,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Polizzi, Alexander",AUS,3,3,3,00:04:20,04:39:31,03:11:56,08:01:21,4834,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Passuello, Domenico",ITA,4,4,4,00:05:25,04:40:50,03:12:40,08:04:40,4795,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"De Bruin, Gerhard",ZAF,5,5,5,00:04:39,04:45:43,03:15:17,08:11:33,4712,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Csoke, Balazs",HUN,6,6,6,00:04:22,04:50:22,03:14:57,08:15:35,4664,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Deak, Zsombor",ROU,7,7,7,00:05:29,05:01:12,03:07:27,08:19:31,4616,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Elosegui, Eneko",ESP,8,8,8,00:05:28,04:53:18,03:17:37,08:21:29,4593,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Pego, Imanol Sagarzazu",ESP,9,9,9,00:05:40,05:06:42,03:07:18,08:24:44,4554,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Alfaro, Peru",ESP,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
"Allan, Dougal",NZL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2018,20181007,taiwan,Pro
