Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Koutny, Philipp",CHE,1,1,1,00:49:41,04:19:49,02:47:43,08:01:18,5000,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Duelsen, Marc",DEU,2,2,2,00:52:16,04:17:24,02:52:51,08:06:16,4940,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Albert, Marko",EST,3,3,3,00:46:12,04:19:02,02:58:18,08:07:11,4929,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Badar, Gergo",HUN,4,4,4,00:52:18,04:26:32,02:46:44,08:10:02,4895,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Thomschke, Markus",DEU,5,5,5,00:49:48,04:19:26,02:56:46,08:10:29,4889,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Chevrot, Denis",FRA,6,6,6,00:49:45,04:19:33,02:59:42,08:13:11,4857,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Buchholz, Gregor",DEU,7,7,7,00:49:46,04:29:06,02:49:02,08:13:33,4853,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Van Vlerken, Per",DEU,8,8,8,00:49:50,04:20:03,03:05:59,08:19:44,4778,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Sapunov, Daniil",UKR,9,9,9,00:49:47,04:30:44,02:56:37,08:21:48,4754,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Lyatskiy, Andrej",RUS,10,10,10,00:52:46,04:26:20,03:07:53,08:32:05,4630,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Odeyn, Seppe",BEL,11,11,11,01:04:36,04:29:01,02:55:45,08:34:21,4603,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Van Cleven, Michael",BEL,12,12,12,00:51:53,04:27:08,03:11:09,08:34:47,4598,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Suur, Ivo",EST,13,13,13,00:58:54,04:31:54,03:03:43,08:40:25,4530,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Swolfs, Sanne",BEL,14,14,14,00:52:46,04:26:06,03:18:13,08:41:48,4514,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Navrotskii, Grigorii",RUS,15,15,15,00:52:59,04:43:11,03:05:01,08:45:54,4464,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Piik, Jarno",FIN,16,16,16,01:14:02,04:27:27,02:58:07,08:46:12,4461,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Reiner, Philipp",AUT,17,17,17,00:55:41,04:38:33,03:08:14,08:48:55,4428,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Hultgren, Marcus",SWE,18,18,18,00:56:45,04:34:44,03:13:13,08:49:58,4416,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Utriainen, Ilkka",FIN,19,24,24,00:55:45,04:41:04,03:15:37,08:57:34,4324,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Guhr, Sebastian",DEU,20,27,27,01:04:46,04:28:22,03:19:16,08:58:13,4317,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Hannes, Bonami",BEL,21,32,32,01:04:31,04:43:21,03:09:23,09:02:20,4267,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Hammerl, Hubert",AUT,22,34,34,00:52:53,04:43:07,03:21:13,09:03:58,4248,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Svoboda, Josef",CZE,23,361,377,01:15:05,05:11:24,04:10:12,10:46:58,3012,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Nemcik, Marek",SVK,---,---,---,---,---,---,DNS,---,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Ruenz, Michael",DEU,---,---,---,00:52:47,04:26:00,---,DNF,---,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Tuikka, Joona",FIN,---,---,---,00:55:40,04:30:44,---,DNF,---,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Zasypkin, Valentin",RUS,---,---,---,01:07:55,---,---,DNF,---,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,Pro
"Feldman, Roy",ISR,1,57,57,01:03:20,04:38:51,03:37:18,09:25:11,5000,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Polyvanyi, Ihor",UKR,2,149,151,01:02:44,05:06:37,03:36:19,09:56:21,4626,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Cappelli, Ivan",ITA,3,176,182,00:55:01,05:13:46,03:52:43,10:08:28,4480,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Keillar, Alistair",GBR,4,352,368,01:09:18,05:49:41,03:36:59,10:45:49,4032,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Vaynzikher, Oleg",RUS,5,402,422,01:19:41,05:47:21,03:37:11,10:54:37,3926,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Tzoumanis, Apostolos",GRC,6,524,558,01:03:10,06:02:01,04:12:56,11:27:21,3534,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Aleksiichyk, Vladyslav",UKR,7,613,656,01:16:51,05:38:06,04:29:41,11:44:30,3328,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Stamatin, Adrian",MDA,8,766,834,01:25:43,06:29:24,04:28:30,12:43:14,2623,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Röyskö, Veikko",FIN,9,789,867,01:30:28,06:23:56,04:48:38,12:54:08,2492,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Naapuri, Jussi",FIN,10,889,984,01:07:36,06:49:42,05:48:42,13:58:30,1720,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Ruusmaa, Magnus",EST,11,911,1015,01:39:28,06:52:37,05:27:29,14:24:50,1404,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Plugari, Cristian",MDA,12,914,1019,01:23:56,07:51:06,04:51:08,14:28:44,1357,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Westgård, Adrian Endre",NOR,---,---,---,01:04:29,05:36:44,---,DNF,---,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,18-24
"Onyshchenko, Andrii",UKR,1,19,19,01:05:13,04:36:09,03:02:54,08:50:01,5000,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,25-29
"Jeret, Timmo",EST,2,21,21,01:06:20,04:33:12,03:09:06,08:53:54,4953,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,25-29
"Kaiv, Taavi",EST,3,23,23,01:08:09,04:33:00,03:09:05,08:57:29,4910,Ironman 140.6,Tallinn,Estonia,Europe,M,2018,20180804,tallinn,25-29
