Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Tissot, Alexis",FRA,1,11,11,00:52:56,04:24:19,03:37:54,09:01:24,5000,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Tissot, Romain",FRA,2,35,35,00:58:14,04:45:31,03:35:00,09:30:48,4647,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Maillard, Pierre",FRA,3,184,196,01:16:10,05:08:49,03:57:37,10:38:51,3830,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Gaudet, Alexis",FRA,4,195,207,01:12:56,04:59:19,04:22:54,10:41:33,3798,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Quiviger, Maxime",FRA,5,205,219,01:16:32,05:07:49,04:08:40,10:44:10,3766,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Cabrol, Clément",FRA,6,254,271,01:20:39,05:26:39,04:00:41,11:00:00,3576,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Laycock, Ross",GBR,7,280,300,01:23:04,05:37:12,03:56:24,11:08:13,3478,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Gregoire, Theo",FRA,8,283,304,01:01:25,05:08:26,04:46:38,11:09:45,3459,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Cabarez, Alexis",FRA,9,304,325,01:29:18,05:30:42,04:07:02,11:16:21,3380,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Auguste, Scott",FRA,10,375,403,01:21:00,05:57:08,04:01:22,11:30:38,3209,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Robic, Maël",FRA,11,430,464,00:57:31,04:40:48,05:47:10,11:43:07,3059,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Boigné, Adrien",FRA,12,438,472,01:18:23,05:34:30,04:37:02,11:44:23,3044,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Lescoublet, Bastien",FRA,13,441,475,01:18:27,05:43:06,04:30:32,11:44:57,3037,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Azaryev, Yevgeniy",KAZ,14,453,487,01:01:04,06:04:05,04:31:16,11:46:41,3016,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Ramez, Valentin",FRA,15,504,541,01:29:26,05:56:13,04:17:37,11:57:17,2889,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Jamet, Thibaut",FRA,16,538,578,01:03:39,05:19:16,05:29:01,12:04:41,2800,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Chorgnon, Antoine",FRA,17,551,592,01:05:02,05:01:21,05:49:58,12:07:51,2762,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Jerebitz, Thibaut",FRA,18,566,608,01:31:47,05:20:12,05:08:27,12:10:34,2730,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Persson, David",SWE,19,603,650,01:29:32,06:01:52,04:30:24,12:19:57,2617,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Vidal Vilaró, Guillem",ESP,20,604,651,01:24:07,05:42:13,05:03:56,12:20:10,2614,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Vazquez, Jose",ESP,21,728,797,01:20:44,05:56:19,05:20:19,12:49:01,2268,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
"Durrheimer, Nicolas",FRA,22,771,848,01:23:01,05:52:45,05:32:00,13:01:07,2123,Ironman 140.6,Vichy,France,Europe,M,2017,20170827,vichy,18-24
