Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Sanders, Conrad",USA,1,9,10,01:00:43,04:59:02,03:29:38,09:36:55,5000,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Clark, Trevor",CAN,2,45,53,00:55:32,05:28:43,03:39:07,10:13:01,4566,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Scheets, Aaron",USA,3,54,62,00:55:11,05:32:58,03:40:29,10:16:43,4522,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Tracy, Matthew",USA,4,56,66,01:03:15,05:28:26,03:39:30,10:19:39,4487,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Nygaard, Corey",USA,5,73,85,01:06:39,05:21:25,03:49:36,10:30:32,4356,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Jones, Justin",USA,6,109,132,01:02:34,05:34:27,04:09:27,10:56:44,4042,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Wetzel, Evan",USA,7,131,158,01:06:57,05:21:59,04:25:08,11:04:23,3950,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Lenhart, Ryan",USA,8,171,207,00:56:00,06:05:13,04:12:44,11:25:20,3699,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Mcdonald, Cristian",USA,9,178,214,01:18:59,06:29:07,---,11:28:55,3656,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"White, Zachary",USA,10,201,244,01:02:51,06:02:44,04:16:39,11:36:15,3568,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Kadlec, Alec",USA,11,230,278,01:11:53,06:07:09,04:18:28,11:46:45,3442,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Moorehead, Nick",USA,12,291,358,01:10:54,06:32:25,04:06:10,12:04:44,3226,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Green, Cooper",USA,13,331,410,00:56:12,06:09:09,04:53:53,12:12:52,3128,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Feuerstein, Jack",USA,14,337,420,01:08:52,06:15:32,04:36:38,12:14:59,3103,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Fritz, Jonathan",USA,15,343,427,01:13:23,06:19:04,04:26:21,12:16:50,3081,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Loegering, Isaac",USA,16,354,443,01:05:57,05:38:34,05:23:25,12:21:26,3025,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Sotis, Andrew",USA,17,360,451,01:25:34,06:17:25,04:09:30,12:22:50,3009,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Sutherland, Jonah",USA,18,374,472,01:13:48,06:30:28,04:29:41,12:26:03,2970,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Oxholm, Trevor",USA,19,408,524,01:23:47,06:51:36,04:03:05,12:34:51,2864,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
"Stuckart, Alex",USA,20,447,583,01:14:10,06:04:42,05:15:21,12:44:53,2744,Ironman 140.6,Madison,USA,North America,M,2018,20180909,wisconsin,18-24
