Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Diederen, Bas",NLD,1,1,1,00:46:22,04:43:33,02:51:59,08:27:18,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Oude Bennink, Mark",NLD,2,2,2,00:46:19,04:48:30,02:54:58,08:35:15,4904,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Casadei, Alberto",ITA,3,4,4,00:46:20,04:51:50,02:54:34,08:38:04,4870,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Brydenbach, Tim",BEL,4,5,5,00:46:24,04:51:46,02:57:22,08:40:38,4840,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Modic, Matic",SVN,5,6,6,00:53:12,04:47:19,02:57:59,08:44:11,4797,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Viennot, Cyril",FRA,6,7,7,00:51:45,04:52:58,03:10:46,09:01:06,4594,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Torrades Sabada, Xavier",ESP,7,8,8,00:46:52,05:03:19,03:06:46,09:02:01,4583,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Vasseur, Remy",NLD,8,9,9,00:53:15,05:01:01,03:02:32,09:02:18,4580,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Schifferle, Mike",CHE,9,10,10,00:58:28,04:54:46,03:02:08,09:04:03,4559,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Hannes, Cool",BEL,10,11,11,00:51:43,04:58:06,03:08:50,09:04:44,4550,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Lyatskiy, Andriy",RUS,11,13,13,00:51:47,05:02:40,03:14:03,09:14:11,4437,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Holvoet, Rinus",BEL,12,14,14,00:53:07,04:59:55,03:16:05,09:17:19,4399,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Mueller, Urs",CHE,13,17,17,00:55:27,05:01:48,03:25:52,09:28:51,4261,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Verhaegen, Hendrik-Jan",BEL,14,20,20,00:56:37,05:09:07,03:21:23,09:33:35,4204,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Ciotti, Emanuele",ITA,15,33,34,00:53:31,05:13:52,03:33:30,09:48:02,4031,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Le Guellec, Ludovic",FRA,16,99,103,01:03:31,05:27:33,03:42:50,10:22:14,3620,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Svoboda, Josef",CZE,17,436,478,01:11:47,06:29:56,04:46:52,12:41:33,1949,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Nagel, Mathias",DEU,18,517,569,01:27:29,06:10:44,05:48:26,13:36:22,1291,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Duinisveld, Wouter",NLD,19,540,595,01:15:35,06:37:45,05:39:08,13:50:21,1123,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Candel, Bart",NLD,---,---,---,00:55:29,04:59:51,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Cartmell, Fraser",GBR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"De Kanel, Rod",FRA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Dekker, Martijn",NLD,---,---,---,00:46:17,04:54:59,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Eichheimer, Stefan",DEU,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Kaiser, Thomas",DEU,---,---,---,00:55:57,05:21:02,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Krivosheev, Roman",RUS,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Largajolli, Cedric",FRA,---,---,---,00:58:57,05:18:20,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Polan, Lukas",CZE,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Schaffner, Frédéric",FRA,---,---,---,00:55:05,05:00:24,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Thissen, Andreas",DEU,---,---,---,01:26:01,---,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Van Vlerken, Per",DEU,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Vansteelant, Joerie",BEL,---,---,---,00:59:01,05:00:17,---,DNF,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,Pro
"Simon, Jan",CZE,1,88,91,00:54:46,05:19:28,03:55:56,10:17:30,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Mileshkin, Nikita",RUS,2,112,116,01:02:43,05:26:22,03:50:17,10:26:21,4893,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Škerjanc, Marko",SVN,3,154,164,01:01:10,05:31:10,04:02:06,10:44:19,4678,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Comber, Frederick",GBR,4,164,174,01:09:05,05:54:08,03:31:57,10:49:35,4615,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Bagijn, Jorn",NLD,5,189,199,01:08:48,05:56:04,03:44:51,10:57:22,4521,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Knoppert, Sebastiaan",NLD,6,249,267,00:59:56,05:39:53,04:27:52,11:20:18,4246,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Dunsmore, Ross",GBR,7,416,455,01:03:07,06:22:32,04:49:26,12:31:09,3396,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Mosquera, Santiago",ESP,8,419,459,01:09:11,06:28:34,04:39:31,12:33:01,3373,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Bode, Johan",NLD,9,458,505,01:17:27,06:29:18,04:47:47,12:55:34,3103,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Maillo Pascual, Luis",ESP,10,572,633,01:15:17,07:23:10,05:10:52,14:24:00,2042,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Chia, Bryan",SGP,11,602,669,01:18:52,07:29:38,05:50:37,14:55:50,1660,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Cusick, Nic",USA,12,605,673,01:25:47,06:52:57,06:26:46,15:02:02,1585,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Van Laeken, Loic",BEL,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Vazquez, Sergio",ESP,---,---,---,---,---,---,DNS,---,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,18-24
"Röhrken, Golo",DEU,1,25,26,00:58:19,05:11:36,03:24:13,09:41:20,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Hannes, Bonami",BEL,2,27,28,00:59:26,05:14:11,03:25:20,09:44:27,4962,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Bobbaers, Rob",BEL,3,29,30,00:57:18,05:09:47,03:32:04,09:45:26,4950,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Langerak, Jacco",NLD,4,35,36,01:04:31,05:18:03,03:18:55,09:48:53,4909,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Lagae, Korneel",BEL,5,51,53,00:55:40,05:14:12,03:42:34,09:59:06,4786,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Olaria, Terrence",NLD,6,73,76,00:50:46,05:22:41,03:50:13,10:11:22,4639,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Martens, Bob",NLD,7,78,81,00:53:44,05:34:17,03:35:31,10:13:56,4608,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Vuegen, Ludovic",BEL,8,80,83,01:08:33,05:15:45,03:42:53,10:14:52,4597,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Schmidt, Oliver",DEU,9,86,89,01:03:04,05:13:37,03:54:43,10:17:10,4570,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Kloosterboer, Ben",NLD,10,119,123,00:59:48,05:26:31,03:50:07,10:28:04,4439,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Kawczyński, Przemysław",POL,1,7,144,01:00:59,06:01:06,03:25:55,10:36:14,5000,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Van Vugt, Frank",NLD,11,148,156,01:01:59,05:37:47,03:51:26,10:40:01,4295,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Rogerson, Andrew",GBR,12,157,167,01:00:25,05:38:06,03:57:01,10:45:36,4228,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Akers, Richard",GBR,13,170,180,01:01:16,05:51:19,03:50:35,10:51:06,4162,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Van Workum, Fons",NLD,14,188,198,01:20:45,05:25:22,03:59:34,10:57:10,4090,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Van Workum, Frans",NLD,15,194,208,01:07:48,05:17:52,04:22:59,10:59:42,4059,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Eijssen, Ewoud",NLD,16,198,212,01:04:58,05:38:23,04:05:38,11:01:41,4035,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Sheridan, David",IRL,17,206,222,00:52:09,05:29:20,04:35:21,11:05:50,3986,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Beekmans, Ruben",NLD,18,214,230,01:07:20,05:38:05,04:14:22,11:08:40,3952,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Bonardi, Manuel",ITA,19,216,232,01:21:34,05:28:16,04:07:07,11:09:07,3946,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Mulder, Jan-Jouke",NLD,20,229,246,01:16:02,05:33:18,04:08:29,11:13:49,3890,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Weeda, Brian",NLD,21,252,270,01:13:03,05:35:45,04:22:05,11:20:40,3808,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Kuligin, Aleksei",EST,22,263,283,01:16:44,05:46:14,04:13:38,11:26:22,3739,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
"Mosquera, Juan",ESP,23,281,307,01:01:38,06:00:41,04:18:29,11:33:20,3656,Ironman 140.6,Maastricht,Netherlands,Europe,M,2015,20150802,Maastricht,25-29
