Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Leiferman, Chris",USA,1,1,1,00:54:34,04:09:55,02:59:02,08:07:55,5000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Gambles, Joe",AUS,2,2,2,00:49:55,04:17:40,03:00:46,08:13:16,4935,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Mckeon, Patrick",USA,3,3,3,00:54:37,04:21:55,02:58:42,08:20:48,4845,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Collington, Kevin",USA,4,4,4,00:49:50,04:23:41,03:08:33,08:26:16,4779,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Long, Sam",USA,5,5,5,00:55:11,04:09:49,03:20:54,08:29:56,4735,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Shearon, Jonathan",USA,6,6,6,00:54:40,04:13:26,03:20:55,08:34:31,4680,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Daerr, Justin",USA,7,7,7,00:54:31,04:28:04,03:11:27,08:39:30,4621,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Mantell, Steve",USA,8,8,8,00:54:40,04:33:38,03:04:52,08:40:11,4612,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Baucco, Aj",USA,9,10,10,00:53:24,04:39:42,03:22:44,09:00:49,4365,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Maclean, Doug",USA,10,11,11,01:01:58,04:42:17,03:13:47,09:04:20,4323,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Delsaut, Trevor",FRA,11,12,12,00:54:37,04:50:51,03:13:42,09:04:53,4316,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Schifferle, Mike",CHE,12,16,16,01:02:01,04:32:07,03:31:30,09:13:18,4215,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Metzler, Justin",USA,13,18,19,00:49:52,04:32:55,03:50:51,09:18:13,4156,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Mcdonald, Chris",USA,14,51,59,00:55:13,04:50:18,04:20:30,10:11:23,3518,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Fecik, Jonathan",USA,15,62,76,00:58:04,04:42:05,04:42:09,10:28:44,3310,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Folts, Brian",USA,16,85,109,01:03:00,05:01:13,04:44:20,10:55:44,2986,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Zawaski, Steven",USA,17,104,132,00:54:31,04:30:09,05:40:49,11:10:56,2803,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Ambrose, Paul",AUS,---,---,---,00:54:31,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Chalfant, Robby",USA,---,---,---,00:59:09,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Hipple, Tripp",USA,---,---,---,---,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Laughery, Colin",USA,---,---,---,00:59:08,04:33:29,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Peterson, Kennett",USA,---,---,---,00:54:32,04:21:41,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Pohl, Jason",CAN,---,---,---,01:03:34,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Schroeder, Chris",USA,---,---,---,00:54:30,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Wade, Robbie",IRL,---,---,---,00:55:52,04:37:45,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,Pro
"Noone, Nicholas",USA,1,9,9,00:54:00,04:37:45,03:17:58,08:55:46,5000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Sanders, Conrad",USA,2,21,23,00:59:36,04:32:54,03:42:27,09:21:30,4691,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Mathys, Philip",USA,3,29,33,01:01:19,04:56:12,03:44:32,09:49:54,4350,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Vonderach, Ryan",USA,4,39,47,01:06:39,05:03:05,03:45:24,10:01:55,4206,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Nygaard, Corey",USA,5,46,54,01:01:03,04:50:07,04:09:23,10:08:30,4127,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Obletz, Nicholas",USA,6,64,79,01:00:27,05:57:15,03:23:53,10:29:14,3878,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Da Veiga Sicupira Nunes Ferreira, Carlos",BRA,7,121,156,01:05:51,05:14:15,04:54:32,11:23:11,3231,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Hefner, John",USA,8,144,186,01:21:51,05:50:10,04:14:26,11:37:25,3060,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Taylor, Robert",USA,9,158,205,01:07:20,05:24:25,05:02:51,11:44:22,2976,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Rauen, John",USA,10,195,252,01:12:28,05:42:29,04:59:47,12:03:06,2752,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Botyarov, Michael",USA,11,213,276,00:56:04,06:28:56,04:30:04,12:11:35,2650,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Nix, William",USA,12,268,350,01:09:04,05:56:26,05:24:14,12:37:15,2342,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Chavez, Alex",USA,13,298,391,01:04:49,05:53:39,05:44:59,12:53:45,2144,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Vadas, James",USA,14,368,481,01:13:34,06:33:15,05:15:21,13:21:31,1811,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Goecke, Alan",USA,15,390,513,01:08:23,06:47:22,05:13:09,13:29:23,1716,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Zavanelli, Nathan",USA,16,464,618,01:47:15,05:56:08,06:03:24,14:00:37,1341,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Sewalt, Ryan",USA,17,539,728,01:12:06,06:44:10,06:25:29,14:35:11,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Campbell, Colin",USA,18,555,747,00:59:04,06:18:22,07:11:01,14:41:45,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Bindseil, Benjamin",USA,19,563,759,01:12:53,07:14:22,06:02:40,14:45:06,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Molnar, Hunter",USA,20,569,768,01:37:26,06:50:49,05:45:07,14:46:39,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Bloom, Aaron",USA,21,599,815,01:26:21,07:05:55,06:02:08,14:58:21,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Stewart, Matthew",USA,22,621,851,01:18:27,07:16:48,06:07:04,15:07:47,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Wagh, Connor",USA,23,626,857,01:33:44,07:26:28,05:42:57,15:08:46,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Ryan, David",USA,24,634,868,01:31:40,07:18:44,06:02:59,15:14:17,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Herman, Chasen",USA,25,665,908,01:26:15,06:56:43,06:43:59,15:27:54,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Sandusky, Noah",USA,26,761,1054,01:09:04,08:02:58,06:44:57,16:12:39,1000,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Croteau, Jacob",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
"Jackson, Alex",USA,---,---,---,02:10:18,---,---,DNF,---,Ironman 140.6,Boulder,USA,North America,M,2018,20180610,boulder,18-24
