Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Tungesvik, Hans Christian",NOR,1,2,2,00:53:12,05:03:53,02:52:40,08:54:03,5000,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,Pro
"Navjord, André Johnsen",NOR,1,10,10,01:00:45,05:11:24,03:24:31,09:40:44,5000,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Karlsen, Marius",NOR,2,11,11,01:03:09,05:22:12,03:12:00,09:43:19,4969,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Haubner, Stefan",DEU,3,18,18,01:01:49,05:25:14,03:20:21,09:53:53,4842,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Dommersnes, Espen",NOR,4,55,56,01:11:41,05:50:15,03:19:54,10:33:09,4371,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Parker, Ben",GBR,5,90,98,01:11:20,06:05:38,03:30:43,11:01:28,4031,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Fleten, Olav",NOR,6,152,168,01:20:11,06:27:14,03:42:54,11:39:31,3574,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Westgård, Adrian Endre",NOR,7,172,188,01:01:44,05:27:48,05:14:08,11:49:36,3453,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Gerritsen, Stijn Igor",NOR,8,187,205,01:15:31,05:50:46,04:41:21,11:55:55,3377,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Kolnes, Ommund",NOR,9,231,262,01:21:09,06:23:27,04:27:22,12:23:09,3051,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Saetre Andersen, Henrik",NOR,10,236,268,01:28:49,06:20:36,04:27:29,12:25:05,3027,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Saby, Tom",FRA,11,320,369,01:06:07,06:59:20,04:58:52,13:19:13,2378,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Lampe, Thomas",NOR,12,331,381,01:15:20,06:38:41,05:16:36,13:24:47,2311,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Gundersen, Erik",NOR,13,356,406,01:16:18,07:08:19,05:07:56,13:42:33,2098,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Combs, Sebastian",NOR,14,386,442,01:20:12,07:16:14,05:01:39,14:05:21,1824,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Casey, Jack",GBR,15,416,480,01:17:35,07:46:13,05:15:12,14:37:19,1441,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Andersen, Jonas",DNK,16,420,488,01:34:56,06:55:33,06:02:33,14:45:15,1345,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
"Jordan, Connor",USA,17,435,506,01:19:47,08:26:18,05:18:15,15:23:02,1000,Ironman 140.6,Haugesund,Norway,Europe,M,2018,20180701,haugesund,18-24
