Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Allen, Mats",USA,1,4,4,00:54:41,05:05:48,03:46:25,09:53:50,5000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Kim, Ki-Hoon",KOR,2,96,103,01:09:45,05:52:36,04:15:35,11:27:03,3881,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Lim, Han-Ul",KOR,3,143,154,01:26:40,05:49:47,04:19:39,11:47:33,3635,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Kim, Chan-Gyu",KOR,4,147,159,01:07:58,06:04:58,04:25:08,11:49:13,3615,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Jingqi, Gu",CHN,5,559,610,01:49:11,06:05:39,05:22:27,13:39:17,2294,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Dong, Dajiang",CHN,6,950,1044,01:33:27,06:37:14,06:11:34,15:02:12,1299,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Wang, Caihua",CHN,6,950,1044,01:32:05,07:19:44,05:50:16,15:02:12,1299,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Ma, Yixiang",CHN,8,1218,1354,01:49:39,07:08:55,07:09:06,16:31:02,1000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,18-24
"Ma, Jonathan",SGP,1,30,31,01:01:25,05:28:28,04:04:02,10:42:05,5000,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Cheng, Tsz Yeung",HKG,2,46,49,01:02:15,05:37:56,04:05:42,10:54:55,4846,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Lin, Junyi",CHN,3,60,64,01:11:49,05:31:15,04:08:03,11:05:46,4715,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"郑, 鑫",CHN,4,105,112,01:31:00,05:56:58,03:47:45,11:31:24,4408,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Hernando, Michael",PHL,5,131,142,01:28:40,05:48:24,04:18:40,11:44:08,4255,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"David, Harley",PHL,6,145,156,01:27:57,05:37:59,04:24:54,11:48:18,4205,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"che, haehyun",KOR,7,163,177,01:12:56,05:52:41,04:39:54,11:57:06,4099,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Choi, Joon-Ho",KOR,8,173,188,01:10:19,05:59:09,04:36:04,11:58:24,4084,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Mendiola, Bryan",PHL,9,225,245,01:10:54,06:10:12,04:40:39,12:17:01,3860,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Yiheng, Low",MYS,10,245,265,01:26:15,06:08:59,04:34:31,12:22:31,3794,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Sirimongkolpan, Nathapat",THA,11,276,299,01:21:39,06:41:59,04:10:01,12:30:35,3698,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Kim, Kichel",KOR,12,314,341,01:26:39,06:10:12,04:41:57,12:42:19,3557,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Ryu, Hosu",KOR,13,358,392,01:28:45,05:50:01,05:18:53,12:54:04,3416,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Saputra, Ryan",IDN,14,398,440,01:27:26,06:37:42,04:48:41,13:06:26,3267,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Tarisa, Rizki",IDN,15,449,493,01:25:23,06:10:12,05:22:10,13:17:49,3131,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Kim, Dong-Hyeon",KOR,16,473,519,01:18:13,06:31:50,05:18:11,13:23:19,3065,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
"Kim, Hyeon-Tae",KOR,17,520,569,01:08:37,06:46:46,05:20:57,13:32:58,2949,Ironman 140.6,Gurye,Korea,Asia,M,2017,20170910,korea,25-29
