Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Sapunov, Daniil",UKR,1,1,1,00:48:42,04:40:46,03:00:19,08:33:36,5000,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Tohara, Kaito",JPN,2,2,2,00:52:50,04:52:40,03:06:08,08:55:13,4740,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Mueller, Urs",CHE,3,3,3,00:52:43,04:53:37,03:18:59,09:09:11,4573,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Groch, Nathan",AUS,4,4,4,00:52:52,05:04:49,03:22:18,09:24:40,4387,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Csoke, Balazs",HUN,5,9,10,00:48:35,05:18:28,03:17:08,09:28:24,4342,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Elosegui, Eneko",ESP,6,10,11,01:01:19,04:59:57,03:24:17,09:30:03,4322,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Krivanek, Josef",CZE,7,27,30,01:03:00,05:06:39,03:47:36,10:01:33,3944,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Svoboda, Josef",CZE,8,195,227,01:12:42,06:07:31,05:00:20,12:30:59,2151,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Guillaume, Romain",FRA,9,196,228,00:48:39,04:52:57,06:45:19,12:31:02,2150,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Nemcik, Marek",SVK,10,468,541,01:13:28,06:58:52,06:07:23,14:29:42,1000,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Baractaru, Mihai",ROU,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Croneborg, Fredrik",SWE,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Djouad Guidert, Alain",MAR,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Giglmayr, Andreas",AUT,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Koutny, Philipp",CHE,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Lampret, Freddy",AUT,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Petersen-Bach, Jens",DNK,---,---,---,00:52:48,---,---,DNF,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Rodriguez Iglesias, Gustavo",ESP,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Van Vlerken, Per",DEU,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"Wurf, Cameron",AUS,---,---,---,---,---,---,DNS,---,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,Pro
"郷田, 知宏",JPN,1,65,72,01:09:28,05:27:13,04:05:37,10:50:16,5000,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Kerkouri, Nessim",FRA,2,77,85,01:11:24,05:35:09,04:07:56,11:02:52,4848,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Van Der Post, Brice",NLD,3,100,116,01:05:50,05:38:47,04:39:09,11:29:49,4525,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"熊井, 善之",JPN,4,115,135,00:56:46,05:35:58,04:55:45,11:41:45,4382,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"浩一, 坪倉",JPN,5,127,148,01:05:33,06:20:50,04:14:30,11:48:08,4305,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Obayashi, Takumi",JPN,6,150,175,01:03:59,05:58:15,04:46:09,12:04:07,4113,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Nakano, Ryota",JPN,7,204,237,01:08:02,06:22:45,04:47:39,12:37:32,3712,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"齋藤(SAITO), 恵介(KEISUKE)",JPN,8,212,248,00:56:29,06:11:31,05:11:42,12:41:38,3663,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Tan, Sia Chian",MYS,9,220,257,01:13:50,06:02:25,05:15:15,12:44:45,3626,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Aiman, Amirul",MYS,10,234,273,01:21:19,05:47:01,05:33:17,12:51:02,3550,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Oshiro, Wataru",JPN,11,283,331,01:01:38,05:59:21,06:00:28,13:13:04,3286,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Kung Chi Wai, Victor",MYS,12,286,334,01:05:37,06:30:27,05:29:31,13:14:49,3265,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Jin Hao, Lim",MYS,13,292,340,01:22:35,06:21:57,05:28:17,13:20:54,3192,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Singh, Sumit",IND,14,311,363,01:46:54,07:03:11,04:25:26,13:28:11,3105,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"齊藤, 滉平",JPN,15,352,408,01:22:46,07:12:15,04:52:31,13:43:41,2919,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Matsushita, Tatsushi",JPN,16,488,562,01:05:31,07:53:32,05:27:52,14:38:15,2264,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Sanusi, Norfazzreen",MYS,17,540,625,01:15:19,06:44:18,06:44:39,14:58:30,2021,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"佐藤, 怜至",JPN,18,556,641,01:19:43,07:52:06,05:40:15,15:07:35,1912,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Gil Edo, Diego",ESP,18,564,650,01:16:47,07:30:00,06:12:36,15:11:27,1865,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Yamamoto, Mebaru",JPN,19,568,654,01:04:06,07:42:13,06:16:28,15:12:56,1848,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"龍太郎, 目高",JPN,20,634,723,01:19:10,07:44:00,06:05:51,15:33:15,1604,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
"Wen Jun, Lee",MYS,21,644,734,01:17:48,07:40:41,06:26:02,15:36:47,1561,Ironman 140.6,Langkawi,Malaysia,Asia,M,2018,20181117,malaysia,18-24
