Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Condit, Jeff",USA,1,30,31,00:57:44,05:26:42,03:31:11,10:01:35,5000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Lucero, Jacob",USA,2,45,47,00:57:31,05:47:19,03:26:10,10:17:49,4805,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Sukolsky, Todd",USA,3,63,67,00:54:48,05:24:26,04:03:12,10:29:56,4659,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Mader, Karl",USA,4,69,73,01:13:29,05:55:20,03:11:19,10:32:29,4629,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Wingrove, Steven",CAN,5,81,85,01:00:45,05:44:08,03:46:44,10:40:18,4535,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Mangan, Connor",USA,6,127,141,01:04:25,05:33:59,04:15:13,11:05:18,4235,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Fauer, Alex",USA,7,190,221,00:59:40,06:24:24,04:04:43,11:41:08,3805,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Reid, Carter",USA,8,196,229,01:08:50,06:10:00,04:09:03,11:43:07,3781,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Willert, Thomas",CAN,9,202,238,01:15:39,06:04:28,04:08:32,11:45:09,3757,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Harrop, Matt",CAN,10,273,338,00:54:55,05:36:18,05:28:11,12:13:02,3422,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Dolecki, Jacob",USA,11,296,370,01:06:52,06:23:25,04:34:59,12:22:32,3308,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Seibt, Erik",USA,12,317,396,01:22:21,06:10:42,04:36:43,12:29:29,3225,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Carey, Joe",USA,13,335,421,01:22:20,06:37:15,04:20:40,12:37:27,3129,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Wong, Philip",USA,14,377,475,01:17:56,06:53:52,04:20:17,12:52:37,2947,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Herson, Mark",CAN,15,387,487,01:15:15,06:26:25,05:02:51,12:56:18,2903,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Farias, David",CAN,16,407,510,01:14:56,06:41:45,04:56:21,13:02:49,2825,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Vargo, Nathan",USA,17,416,523,01:12:53,06:00:01,05:43:11,13:06:49,2777,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Wetzel, Evan",USA,18,443,555,01:21:55,06:41:23,05:03:22,13:16:18,2663,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Evans, William",CAN,19,492,623,01:24:39,06:58:23,04:54:52,13:38:34,2396,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Potts, Richard",USA,20,558,729,01:21:02,07:52:56,04:40:10,14:11:33,2000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Milosevic, Jovan",CAN,21,617,820,01:31:57,07:49:01,05:03:58,14:42:54,1624,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Blake, Coleman",CAN,22,629,845,01:07:06,07:00:05,06:32:37,14:51:17,1523,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Decker, Dale",CAN,23,637,854,01:30:14,07:53:18,05:13:13,14:54:19,1487,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Somers-Neal, Shawn",CAN,24,678,911,01:37:07,07:35:17,05:42:50,15:14:32,1244,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Uziemblo, Ursus",USA,25,696,939,01:19:46,07:26:39,06:27:53,15:28:50,1073,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Mcauliffe, Matthew",USA,26,703,955,01:18:33,08:04:07,05:54:58,15:38:16,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Canning-Choi, Alexander",CAN,27,718,975,01:31:23,07:36:25,06:20:26,15:48:52,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Cousino, William",USA,28,740,1008,01:27:51,07:22:44,07:02:06,16:09:09,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Garcia, Mauricio",USA,29,748,1020,01:15:59,08:31:46,06:03:21,16:13:32,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"O'Malley, Greg",USA,30,757,1034,01:28:35,08:54:07,05:45:26,16:28:22,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Dearing, Phillip",USA,31,763,1044,01:26:24,08:04:14,06:30:20,16:35:54,1000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Choe, Soojeong",CAN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Hoppner, Karl",CAN,---,---,---,---,---,---,DNS,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Kakoullis, Christopher",GBR,---,---,---,01:00:21,---,---,DNF,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Motherway, Billy",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Queen, Zachary",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Yezman, Ryan",USA,---,---,---,---,---,---,DNS,---,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,18-24
"Mcmillan, Jonathan",CAN,1,1,1,00:59:23,05:06:21,03:07:48,09:19:28,5000,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mcmurray, Ben",USA,2,10,10,00:56:02,05:15:47,03:19:59,09:38:11,4775,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Sumbs, Michael",USA,3,11,11,01:10:40,05:06:59,03:15:13,09:41:26,4736,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Hafferty, William",USA,4,15,15,00:56:32,05:14:39,03:32:01,09:50:12,4631,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Aguayo, Felipe",USA,5,20,20,00:56:08,05:19:06,03:29:14,09:51:56,4610,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Schmelzle, Steffen",DEU,6,32,33,01:01:40,05:14:02,03:40:46,10:02:14,4486,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Guo, Winston",CAN,7,48,50,01:08:55,05:34:39,03:28:09,10:18:17,4294,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Volchko, Bill",USA,8,56,59,01:11:08,05:07:31,04:01:21,10:26:39,4193,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Marchant, Keith",AUS,9,80,84,00:54:35,05:18:13,04:17:44,10:40:15,4030,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Marco, Lovisetto",ITA,10,89,96,01:07:34,05:30:43,03:57:16,10:47:01,3949,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Pagusara, Linus",PHL,11,97,104,01:08:10,05:39:05,03:55:51,10:51:19,3897,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Grant, Aaron",CAN,12,101,108,01:03:51,05:28:31,04:11:51,10:52:00,3889,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Gagnon, Alexandre",CAN,13,110,118,01:00:46,05:44:50,04:01:10,10:57:07,3828,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Guggemos, Tyler",UKR,14,112,120,01:07:51,05:49:31,03:53:17,10:57:36,3822,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Matson, John",USA,15,119,131,00:56:54,05:31:13,04:21:17,11:01:02,3781,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mazzini, Ricardo Fabrizio",PER,16,123,137,01:00:57,05:53:53,03:59:15,11:03:24,3752,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Zuteck, Jeffrey",USA,17,134,152,01:15:21,05:48:46,03:56:03,11:12:21,3645,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Fisher, Andrew",USA,18,162,188,01:02:15,06:06:01,04:08:50,11:28:12,3455,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Libner, Eric",USA,19,177,206,00:59:08,06:03:37,04:27:56,11:37:13,3347,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Chasovskykh, Art",UKR,20,197,230,00:57:12,06:25:40,04:12:12,11:43:35,3270,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mitchell, Jeff",CAN,21,203,240,01:05:34,06:05:31,04:24:21,11:45:50,3243,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Corrigan, Sean",CAN,22,205,242,01:05:27,05:52:09,04:36:47,11:46:03,3241,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Bonawitz, Eric",CAN,23,207,244,01:08:45,05:53:47,04:31:32,11:46:24,3236,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Metauro, Mikhael",CAN,24,218,259,01:19:40,06:10:40,04:08:03,11:53:15,3154,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Egberts, Alex",CAN,25,240,295,01:07:27,06:02:10,04:42:48,12:02:15,3046,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Kramer, Chris",USA,26,242,297,01:08:40,06:21:09,04:22:11,12:02:31,3043,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Garcia, Michael",USA,27,264,326,00:59:01,06:17:33,04:45:33,12:10:29,2947,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Vicujnik, Erik",CAN,28,280,346,01:28:15,05:53:48,04:42:27,12:15:44,2884,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mitchell, Ryan",CAN,29,293,365,01:08:15,06:37:13,04:24:45,12:21:53,2811,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Martin, Brad",CAN,30,304,380,01:22:05,05:58:14,04:56:18,12:24:50,2775,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Halewski, Steven",USA,31,323,404,01:06:59,06:14:19,04:59:06,12:32:08,2688,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Robertson, Jefferson",USA,32,325,406,01:42:41,06:36:50,03:56:29,12:33:24,2672,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Sartor, Charles",USA,33,328,410,01:05:43,06:43:14,04:29:51,12:35:15,2650,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Hope, Oliver",GBR,34,340,427,01:14:25,06:40:29,04:32:01,12:39:20,2601,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Schwalbe, Eric",USA,35,344,432,01:05:57,05:56:57,05:19:25,12:42:04,2568,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mccarthy, Joshua",USA,36,357,449,01:29:15,05:51:43,05:11:59,12:44:52,2535,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Mceachnie, John Craig",GBR,37,360,452,01:22:06,06:12:07,05:01:34,12:45:38,2526,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Murphy, Connor",USA,38,361,455,01:08:29,05:56:15,05:23:56,12:46:19,2517,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Simon, Jacob",CAN,39,370,466,01:19:48,06:46:02,04:24:01,12:50:00,2473,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Striukas, Marc",CAN,40,372,469,01:18:45,06:25:34,04:50:02,12:50:28,2468,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Kesteris, Ryan",CAN,41,382,480,01:18:39,07:02:17,04:17:04,12:53:55,2426,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Ellis, Shane",CAN,42,384,482,01:15:46,06:17:14,05:06:51,12:54:46,2416,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Cebrynski, Alex",CAN,43,388,488,01:09:34,06:45:21,04:49:31,12:56:37,2394,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Throop, Brandon",CAN,44,415,522,01:16:42,06:41:15,04:53:46,13:06:41,2273,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Aziz, Daniel",CAN,45,433,542,01:20:27,06:39:49,04:57:36,13:12:35,2202,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"O'Connor, James",GBR,46,439,550,01:09:23,06:28:34,05:22:26,13:14:51,2175,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Tipton, Andrew",USA,47,458,573,01:17:31,06:29:07,05:21:54,13:22:19,2085,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Dow, Jonathan",CAN,48,480,607,01:10:25,05:43:52,06:30:04,13:32:14,1966,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Kirkey, Justin",CAN,49,482,610,01:17:18,06:25:51,05:31:24,13:33:16,1954,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Marques, Marcio",CAN,50,501,635,01:21:18,06:38:00,05:30:45,13:43:22,1833,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Reed, Shawn",USA,51,504,638,01:24:47,07:15:57,04:47:12,13:44:02,1825,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Wilson, Dan",USA,52,514,656,01:26:47,06:59:29,05:09:17,13:48:49,1767,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Wyman, Keith",USA,53,518,663,01:36:51,07:19:03,04:36:45,13:49:54,1754,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Dulski, Robert",USA,54,556,727,01:22:47,06:53:44,05:37:54,14:10:58,1502,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Duivenvoorden, Brendan",CAN,55,563,737,01:25:48,06:58:23,05:20:48,14:14:10,1463,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Van Der Linden, Scott",CAN,56,576,758,01:36:37,07:17:57,05:02:45,14:20:53,1383,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Brosko, Collin",USA,57,583,772,00:56:29,06:38:13,06:36:01,14:24:45,1336,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
"Wotachek, Cory",USA,58,604,804,01:21:54,06:52:01,06:10:10,14:36:21,1197,Ironman 140.6,Muskoka,Canada,North America,M,2015,20150830,muskoka,25-29
