Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Passuello, Domenico",ITA,1,---,1,00:52:25,04:32:16,02:55:52,08:25:54,5000,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Croneborg, Fredrik",SWE,2,---,2,00:50:35,04:42:57,02:49:48,08:28:37,4967,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Jaberg, Patrick",USA,3,---,3,00:55:41,04:42:27,02:57:06,08:40:58,4819,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Brown, Cameron",NZL,4,---,4,00:50:56,04:42:29,03:04:22,08:43:13,4792,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Jaberg, Patrick",CHE,5,---,5,00:52:21,04:40:53,03:05:47,08:44:46,4773,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Baldwin, Nick",SYC,6,---,6,00:52:24,04:53:01,02:54:32,08:45:59,4759,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Baertsch, Mauro",CHE,7,---,7,00:52:41,04:47:51,02:59:18,08:46:33,4752,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Džalaj, Karol",SVK,8,---,8,00:52:13,04:45:35,03:01:12,08:46:40,4750,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Schifferle, Mike",CHE,9,---,9,00:58:23,04:37:51,03:04:12,08:50:43,4702,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Huerzeler, Samuel",CHE,10,---,10,00:52:05,04:56:15,03:05:16,09:00:29,4585,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Deak, Zsombor",ROU,11,---,13,00:58:18,05:03:50,03:14:21,09:22:39,4319,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Oftedal, Henrik",NOR,12,---,15,00:57:53,05:01:04,03:26:00,09:31:35,4211,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"De Kanel, Rod",FRA,13,---,33,00:50:35,05:06:02,04:07:20,10:12:45,3717,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Brown, Daniel",AUS,14,---,55,01:02:00,05:26:48,03:59:06,10:34:43,3454,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Svoboda, Josef",CZE,15,---,103,01:14:27,05:39:00,04:18:25,11:20:25,2905,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Elosegui, Eneko",ESP,---,---,---,---,---,---,DQ,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Shinozaki, Yu",JPN,---,---,---,---,---,---,DQ,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,Pro
"Guo, Xiu Sen",TWN,1,---,77,00:51:41,05:44:54,04:02:59,10:51:40,5000,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Hsin-Yu, Tseng",TWN,2,---,90,01:10:26,05:46:05,03:59:24,11:07:15,4813,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Osaka, Hayato",JPN,3,---,112,01:12:16,05:34:42,04:33:10,11:27:57,4564,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Huang, Nien Ting",TWN,4,---,190,01:41:33,06:15:49,04:04:14,12:19:30,3946,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Lin, Xian Zong",TWN,5,---,412,01:39:45,07:09:33,04:49:45,14:01:38,2720,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Zeng, Cheng Hung",TWN,6,---,584,01:21:58,07:02:47,06:26:25,15:09:49,1902,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Ito, Issei",JPN,7,---,601,01:15:07,06:54:27,06:36:44,15:16:34,1821,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Algosaibi, Fahad",SAU,8,---,649,01:36:00,07:35:58,06:07:07,15:31:43,1639,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Lee, Tsung-Ying",TWN,9,---,718,01:43:09,07:33:50,06:26:57,16:01:27,1282,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Ishida, Kentaro",JPN,10,---,735,01:32:23,08:09:24,06:07:29,16:09:30,1186,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Chen, Bo Yu",TWN,---,---,---,01:07:58,05:43:59,04:56:42,DNF,---,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,18-24
"Lecallier, Guillaume",FRA,1,---,11,00:57:19,05:02:16,03:10:08,09:16:18,5000,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Dambrosia, Christopher",TWN,2,---,39,00:55:20,05:47:19,03:24:46,10:19:25,4242,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Kobayashi, Akihiro",JPN,3,---,48,01:08:59,05:47:35,03:24:00,10:31:30,4097,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Takashi, Iwabuchi",JPN,4,---,60,01:00:34,05:17:03,04:13:34,10:38:17,4016,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Anderson, Eric",USA,5,---,75,01:10:05,05:42:16,03:46:08,10:51:07,3862,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Li, Joshua",SGP,6,---,91,01:08:14,06:00:24,03:50:34,11:07:49,3661,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Hsieh, Boss",TWN,7,---,101,00:55:39,05:33:03,04:38:43,11:18:35,3532,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Duan, Songyao",CHN,8,---,116,01:14:05,05:49:47,04:16:50,11:31:22,3379,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Liu, Ke-Tai",TWN,9,---,154,01:06:05,06:07:05,04:34:47,11:58:32,3053,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Manthonglang, Prasopchai",THA,10,---,194,00:57:57,05:54:20,05:20:43,12:22:55,2760,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Wang, Jing Yu",TWN,11,---,227,01:10:26,06:30:45,04:39:41,12:39:29,2561,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Ng, Tee Yang",SGP,12,---,231,01:20:45,06:30:38,04:29:40,12:40:41,2547,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Wong, Cyrus",CHN,13,---,299,01:28:02,06:18:01,05:19:39,13:17:00,2111,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Er, Victor",SGP,14,---,346,01:28:23,06:28:11,05:31:26,13:40:40,1827,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"黃, 子恆",TWN,15,---,359,01:27:36,06:44:25,05:08:01,13:45:12,1773,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
"Lee, Zheng Yang",SGP,16,---,376,01:21:21,07:01:20,05:07:18,13:49:52,1717,Ironman 140.6,Penghu,Taiwan,Asia,M,2015,20150412,taiwan,25-29
